crop,price
bana,997.1428571428571
barl,219.96666666666667
bean,364.5
cass,570.1333333333333
chic,388
cnut,168.6
coco,2173.5
coff,2061.1
cott,1976.4333333333334
grou,812.3666666666667
lent,751.3
maiz,501.35
ocer,241.8397943025493
ooil,1191.2124987859022
opul,360.9124867894676
orts,281.1
pota,409.96
rape,464.03333333333336
rest,6071.961951918253
rice,442.95
sorg,186.46666666666667
soyb,472.70000000000005
sugc,34.86666666666667
sunf,563.3
swpo,722.525
temf,855.5085349575807
trof,1108.9585155808784
vege,1192.64789597732
whea,260.5833333333333
yams,811.1
