crop,unit,year,value,source,adm_level,adm_code,adm_name
bana,ha,1961,10353,FAOSTAT,0,AUS,Australia
bana,ha,1962,10353,FAOSTAT,0,AUS,Australia
bana,ha,1963,10971,FAOSTAT,0,AUS,Australia
bana,ha,1964,10845,FAOSTAT,0,AUS,Australia
bana,ha,1965,9792,FAOSTAT,0,AUS,Australia
bana,ha,1966,9411,FAOSTAT,0,AUS,Australia
bana,ha,1967,9130,FAOSTAT,0,AUS,Australia
bana,ha,1968,9354,FAOSTAT,0,AUS,Australia
bana,ha,1969,9457,FAOSTAT,0,AUS,Australia
bana,ha,1970,9420,FAOSTAT,0,AUS,Australia
bana,ha,1971,9409,FAOSTAT,0,AUS,Australia
bana,ha,1972,9027,FAOSTAT,0,AUS,Australia
bana,ha,1973,8593,FAOSTAT,0,AUS,Australia
bana,ha,1974,8075,FAOSTAT,0,AUS,Australia
bana,ha,1975,7280,FAOSTAT,0,AUS,Australia
bana,ha,1976,6875,FAOSTAT,0,AUS,Australia
bana,ha,1977,6679,FAOSTAT,0,AUS,Australia
bana,ha,1978,6148,FAOSTAT,0,AUS,Australia
bana,ha,1979,6878,FAOSTAT,0,AUS,Australia
bana,ha,1980,7109,FAOSTAT,0,AUS,Australia
bana,ha,1981,7603,FAOSTAT,0,AUS,Australia
bana,ha,1982,7571,FAOSTAT,0,AUS,Australia
bana,ha,1983,7844,FAOSTAT,0,AUS,Australia
bana,ha,1984,8129,FAOSTAT,0,AUS,Australia
bana,ha,1985,7832,FAOSTAT,0,AUS,Australia
bana,ha,1986,7659,FAOSTAT,0,AUS,Australia
bana,ha,1987,7769,FAOSTAT,0,AUS,Australia
bana,ha,1988,7969,FAOSTAT,0,AUS,Australia
bana,ha,1989,7941,FAOSTAT,0,AUS,Australia
bana,ha,1990,7924,FAOSTAT,0,AUS,Australia
bana,ha,1991,7962,FAOSTAT,0,AUS,Australia
bana,ha,1992,8159,FAOSTAT,0,AUS,Australia
bana,ha,1993,8656,FAOSTAT,0,AUS,Australia
