adm_name,adm_code,adm_level,ocer,ooil,opul,pota,rape,rest,temf,vege,whea,barl,bean,chic,rice,trof,cott,maiz,mill,sorg,soyb,sugc,sunf,bana,grou,lent,toba,swpo
Australia,AU0,0,1082500,24963,1794000,42162,1459000,19639,170070,70643,12141000,3454000,52000,262000,133300,59534,464300.00000000006,82262,38961,622267,56000,419000,162000,13436,17400,116999.99999999999,3185,850
New South Wales,AU1,1,254437.25245860245,9221.358917967891,129141.82046878402,6759.216819973719,523436.5074849304,2090.4189915220823,42167.5716472292,14889.483939871305,3673821.7240798525,615893.3489401648,12622.184825212556,124702.13051154489,131863.68691602055,17450.37256848925,299300.27146401437,29282.253211009174,1847.3284927898417,212258.29677271162,35005.471709458245,24197.141051747956,34494.74750186064,2815.5641772734243,540.052310374891,-999,-999,NA
Goulburn,AU101011001,2,18.569893476572258,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
Goulburn Region,AU101011002,2,2827.0805828733605,83.26489993402244,33.380905154689046,136.16093899641416,280.0516339201676,17.42419164037855,36.81149860081117,11.317064053613862,1081.9962635887207,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
Yass Region,AU101011004,2,1325.8903942272593,9.149989003738728,323.7947800004838,0,920.1696543091222,-999,106.05217454043218,27.34957146290017,2070.9068171739714,400.2920486284145,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
Young Region,AU101011006,2,12970.69919551619,25.61996921046844,7121.259766333664,-999,43525.02483322834,36.784404574132495,3710.0731804103257,135.80476864336634,70768.1607997348,880.6425069825119,14.584833769499728,11.037451505298513,40.12893697992104,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
Braidwood,AU101021007,2,32.68301251876717,6.40499230261711,0,-999,-999,-999,75.37592570642288,5.658532026806931,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
Queanbeyan Region,AU101021011,2,157.47269668133274,10.064987904112602,-999,-999,98.01807187205867,-999,21.035142057606382,0,409.3769396926797,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
Bombala,AU101031013,2,381.79700987832564,-999,-999,-999,-999,-999,10.517571028803191,-999,446.4110393714796,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
Cooma Region,AU101031015,2,307.5174359720366,-999,-999,-999,34.00626983316321,-999,8.76464252400266,689.3978185993111,320.2949161409719,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
