adm_name,adm_code,adm_level,system,whea,rice,maiz,barl,mill,sorg,ocer,pota,swpo,yams,cass,orts,bean,chic,cowp,pige,lent,opul,soyb,grou,cnut,oilp,sunf,rape,sesa,ooil,sugc,sugb,cott,ofib,coff,coco,teas,toba,bana,plnt,trof,temf,vege,rest
Australia,AU0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AU0,0,L,8.52722195511473e-12,0,3.0319885874676e-9,6.516597277977559e-12,0,0,3.89380517178875e-9,1.55337133152219e-9,0,0,1,0,0,0,0,1,0,1,2.9682626297453303e-9,4.22029149054722e-10,0,1,2.23733086386764e-9,6.34387579979622e-11,0,0,0,0.673917564021455,0,0,1,1,0,0,1,0,1,1,1,1
Australia,AU0,0,H,0.505259526414345,0.435318948063344,0.49354067610682,0.999999999993483,1,0.282706545122661,0.999999996106195,0.498450474135134,1,1,0,1,1,1,1,0,1,0,0.999999997031737,0.431454163536968,1,0,0.999999997762669,0.999999999936561,1,1,0.255753410272188,0.326082435978545,0.435498920640581,1,0,0,1,1,0,1,0,0,0,0
Australia,AU0,0,I,0.494740473577128,0.564681051936656,0.506459320861192,0,0,0.71729345487734,0,0.501549524311495,0,0,0,0,0,0,0,0,0,0,0,0.568545836041003,0,0,0,0,0,0,0.744246589727812,0,0.564501079359419,0,0,0,0,0,0,0,0,0,0,0
Australian Capital Territory,AU8,1,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australian Capital Territory,AU8,1,L,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1
Australian Capital Territory,AU8,1,H,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
Australian Capital Territory,AU8,1,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,AU1,1,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,AU1,1,L,2.33171497303496e-11,0,2.60344973023429e-9,0,0,0,1.35992933031872e-8,1.35559453087703e-8,0,0,1,0,0,0,0,1,0,1,0,1.55069903296442e-8,0,1,0,0,0,0,0,0.477629943621823,0,0,1,1,0,0,1,0,1,1,1,1
New South Wales,AU1,1,H,0.502396324986128,0.429209889209959,0.556390624913313,1,1,0.562852825673944,0.999999986400707,0.721475091863092,1,1,0,1,1,1,1,0,1,0,1,0.99999998449301,1,0,1,1,1,1,1,0.522370056378177,0.549692590301632,1,0,0,1,1,0,1,0,0,0,0
New South Wales,AU1,1,I,0.497603674990555,0.570790110790041,0.443609372483237,0,0,0.437147174326056,0,0.278524894580962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450307409698368,0,0,0,0,0,0,0,0,0,0,0
Northern Territory,AU7,1,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Territory,AU7,1,L,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1
