adm_name,adm_code,adm_level,bana,barl,bean,chic,cott,grou,lent,maiz,mill,ocer,ooil,opul,pota,rape,rest,rice,sorg,soyb,sugc,sunf,swpo,temf,toba,trof,vege,whea
Australia,0,0,13436,3453999.9999999986,52000,262000,464300,17400.000000000004,117000,82262.00000000006,38961,1082500.0000000002,24963,1794000,42162.000000000015,1458999.9999999995,19639,133300,622267.0000000007,55999.99999999998,419000,162000,850,170070,3185,59534,70643,12141000.000000004
New South Wales,1,1,2815.5641772734243,615893.3489401645,12622.184825212556,124702.13051154488,299300.2714640143,540.0523103748911,NA,29282.253211009192,1847.3284927898417,254437.2524586025,9221.358917967891,129141.82046878402,6759.216819973722,523436.5074849303,2090.4189915220823,131863.68691602055,212258.2967727118,35005.47170945823,24197.141051747956,34494.747501860635,NA,42167.5716472292,NA,17450.37256848925,14889.483939871305,3673821.724079854
Victoria,2,1,NA,691570.5621936094,9794.581078222342,8016.2000068936195,NA,NA,117000,917.8450350782522,57.89348552902638,246175.87824874505,5387.513525401364,215918.82150891368,11448.787367201943,260562.0405681376,6295.457240733439,1391.6412484734883,1771.0781680481703,1394.0232096686907,NA,326.13072070862967,NA,37694.098102978234,1830.8239619377164,3625.359236892224,18913.64329960217,1133787.9515287161
Queensland,3,1,10049.69943260236,111798.56699155142,17650.615267963043,71259.7937275718,164281.70955575584,16708.247602441155,NA,51596.87506745821,37055.77802168113,52669.41746973237,2870.3515504728393,1897.1481096248276,4951.562974676498,2662.4908910553067,5196.281151419558,NA,405927.6659643652,19566.833022668503,391220.6114325644,126845.08485743219,NA,10175.749970367087,1354.176038062284,26737.145508114532,22596.404560382347,885480.3187120405
South Australia,4,1,NA,1041422.8105044788,9834.503970659192,1104.7485552121511,NA,NA,NA,NA,NA,211021.58430611566,4678.389377611612,237431.70218427223,9136.868527138693,154223.4346154294,2038.1464166009464,NA,NA,NA,NA,336.01346982101234,NA,59956.29011394499,NA,6522.933179235916,4839.931060262195,1977102.4454524105
Western Australia,5,1,313.1838675049839,983638.6518247239,1733.3704134191878,56917.12719877753,718.0189802298544,NA,NA,387.33726389638446,NA,309826.78792478325,2630.6218385748844,1198757.2627657773,2093.1222967103954,517312.3783617404,3380.7771835567823,NA,2029.8395887045585,NA,3582.0059452840155,NA,NA,16948.18924866394,NA,2491.5259551055624,5666.076736176007,4463634.955948651
Tasmania,6,1,NA,9675.058815348777,357.3284273527433,NA,NA,NA,NA,NA,NA,8236.861950468392,170.18979546954034,10854.357659466388,7771.502973340166,303.05587527789555,444.316886829653,NA,NA,NA,NA,NA,NA,2582.063687571183,NA,NA,3640.322270579126,6642.115823473407
Northern Territory,7,1,257.55252261923016,NA,7.416017170932065,NA,NA,151.70008718395817,NA,77.68942255801407,NA,72.79398242816326,NA,NA,NA,NA,193.60212933753945,45.42898526028797,279.29804134340344,33.67205820455775,NA,NA,NA,474.16716054854385,NA,2706.6635521625185,97.13813312685232,NA
Australian Capital Territory,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.423659125031236,5.489993402243237,NA,NA,500.09220342887056,NA,NA,NA,NA,NA,NA,NA,71.8700686968218,NA,NA,NA,530.4884548584848
Goulburn,101011001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.56989347657226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goulburn Region,101011002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2827.080582873361,83.26489993402244,33.380905154689046,136.16093899641422,280.05163392016755,17.42419164037855,NA,NA,NA,NA,NA,NA,36.81149860081117,NA,NA,11.317064053613862,1081.996263588721
Yass Region,101011004,2,NA,400.2920486284143,NA,NA,NA,NA,NA,NA,NA,1325.8903942272595,9.149989003738728,323.7947800004838,0,920.1696543091219,NA,NA,NA,NA,NA,NA,NA,106.05217454043218,NA,NA,27.34957146290017,2070.906817173972
Young Region,101011006,2,NA,880.6425069825116,14.584833769499728,11.037451505298511,NA,NA,NA,NA,NA,12970.699195516194,25.61996921046844,7121.259766333664,NA,43525.02483322833,36.784404574132495,40.12893697992104,NA,NA,NA,NA,NA,3710.0731804103257,NA,NA,135.80476864336634,70768.16079973482
Braidwood,101021007,2,NA,NA,0,NA,NA,NA,NA,NA,NA,32.68301251876718,6.40499230261711,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.37592570642288,NA,NA,5.658532026806931,NA
Queanbeyan Region,101021011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.47269668133276,10.064987904112602,NA,NA,98.01807187205866,NA,NA,NA,NA,NA,NA,NA,21.035142057606382,NA,NA,0,409.3769396926798
Bombala,101031013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,381.79700987832564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.517571028803191,NA,NA,NA,446.4110393714797
Cooma Region,101031015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,307.51743597203665,NA,NA,NA,34.0062698331632,NA,NA,NA,NA,NA,NA,NA,8.76464252400266,NA,NA,689.3978185993111,320.294916140972
Jindabyne - Berridale,101031016,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.78323676416906,NA,NA,NA,20.00368813715482,NA,NA,NA,NA,NA,NA,NA,1.752928504800532,NA,NA,NA,167.15390936106974
Bega-Eden Hinterland,101041020,2,NA,303.22122683602385,5.191212019652445,NA,NA,NA,NA,NA,NA,121.07570546725115,8.234990103364856,NA,NA,NA,NA,154.4585498849791,NA,NA,NA,NA,NA,18.405749300405585,NA,0,12.260152724748352,NA
Deua - Wadbilliga,101041022,2,NA,NA,4.57321058874144,NA,NA,NA,NA,NA,NA,9.656344607817578,0.9149989003738728,8.90157470791708,NA,NA,7.260079850157729,NA,NA,NA,NA,NA,NA,9.641106776402925,NA,0,3.7723546845379543,NA
Eurobodalla Hinterland,101041024,2,NA,NA,3.5844082992838313,NA,NA,NA,NA,NA,NA,7.4279573906289045,0.9149989003738728,6.67618103093781,NA,NA,5.324058556782335,NA,NA,NA,NA,NA,NA,7.888178271602394,NA,0,2.8292660134034655,NA
Calga - Kulnura,102011030,2,NA,NA,0.4944011447288043,NA,NA,NA,NA,NA,NA,NA,3.659995601495491,4.45078735395854,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.64642524002659,NA,545.5966988426416,134.86167997223183,NA
Jilliby - Yarramalong,102021049,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67618103093781,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.21724790121675,NA,156.02321228004493,52.81296558353136,113.10414226228073
Bathurst,103011058,2,NA,NA,7.786818029478668,NA,NA,NA,NA,NA,NA,38.625378431270306,4.574994501869364,NA,NA,640.1180203889543,NA,NA,NA,NA,NA,NA,NA,50.834926639215425,NA,NA,296.1298427362294,827.7621739018244
Bathurst - East,103011059,2,NA,NA,6.5508151676566575,NA,NA,NA,NA,NA,NA,32.68301251876718,3.659995601495491,NA,NA,536.0988420757492,NA,NA,NA,NA,NA,NA,NA,42.070284115212765,NA,NA,248.0323205083705,693.6386777677925
