adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code
Australia,AU0,Australian Capital Territory,AU8,ACT - South West,AU801021027
Australia,AU0,Australian Capital Territory,AU8,Gungahlin - East,AU801041041
Australia,AU0,Australian Capital Territory,AU8,Gungahlin - West,AU801041042
Australia,AU0,Australian Capital Territory,AU8,Hall,AU801041043
Australia,AU0,Australian Capital Territory,AU8,Holt,AU801011015
Australia,AU0,Australian Capital Territory,AU8,Kambah,AU801071082
Australia,AU0,Australian Capital Territory,AU8,Majura,AU801031033
Australia,AU0,Australian Capital Territory,AU8,Namadgi,AU801021029
Australia,AU0,New South Wales,AU1,Albion Park - Macquarie Pass,AU107031136
Australia,AU0,New South Wales,AU1,Albury - East,AU109011172
Australia,AU0,New South Wales,AU1,Albury Region,AU109011175
Australia,AU0,New South Wales,AU1,Armidale,AU110011186
Australia,AU0,New South Wales,AU1,Armidale Region - North,AU110011187
Australia,AU0,New South Wales,AU1,Armidale Region - South,AU110011188
Australia,AU0,New South Wales,AU1,Badgerys Creek - Greendale,AU127011505
Australia,AU0,New South Wales,AU1,Ballina Region,AU112011237
Australia,AU0,New South Wales,AU1,Bangalow,AU112011238
Australia,AU0,New South Wales,AU1,Bass Hill - Georges Hall,AU119011354
Australia,AU0,New South Wales,AU1,Bathurst,AU103011058
Australia,AU0,New South Wales,AU1,Bathurst - East,AU103011059
Australia,AU0,New South Wales,AU1,Bathurst Region,AU103011060
Australia,AU0,New South Wales,AU1,Bayview - Elanora Heights,AU122021421
Australia,AU0,New South Wales,AU1,Bega-Eden Hinterland,AU101041020
Australia,AU0,New South Wales,AU1,Bellingen,AU104021083
Australia,AU0,New South Wales,AU1,Beresfield - Hexham,AU111031223
Australia,AU0,New South Wales,AU1,Bilpin - Colo - St Albans,AU115031299
Australia,AU0,New South Wales,AU1,Blayney,AU103041076
Australia,AU0,New South Wales,AU1,Blue Mountains - North,AU124011451
Australia,AU0,New South Wales,AU1,Blue Mountains - South,AU124021456
Australia,AU0,New South Wales,AU1,Bombala,AU101031013
Australia,AU0,New South Wales,AU1,Bourke - Brewarrina,AU105011092
Australia,AU0,New South Wales,AU1,Braidwood,AU101021007
Australia,AU0,New South Wales,AU1,Bulahdelah - Stroud,AU108011151
Australia,AU0,New South Wales,AU1,Calga - Kulnura,AU102011030
Australia,AU0,New South Wales,AU1,Casino,AU112021244
Australia,AU0,New South Wales,AU1,Casino Region,AU112021245
Australia,AU0,New South Wales,AU1,Castlereagh - Cranebrook,AU124031458
Australia,AU0,New South Wales,AU1,Cessnock Region,AU106011109
Australia,AU0,New South Wales,AU1,Claymore - Eagle Vale - Raby,AU123021438
Australia,AU0,New South Wales,AU1,Cobar,AU105011093
Australia,AU0,New South Wales,AU1,Cobbitty - Leppington,AU127011506
Australia,AU0,New South Wales,AU1,Condell Park,AU119011356
Australia,AU0,New South Wales,AU1,Condobolin,AU103021062
Australia,AU0,New South Wales,AU1,Cooma Region,AU101031015
Australia,AU0,New South Wales,AU1,Coonabarabran,AU105031099
Australia,AU0,New South Wales,AU1,Coonamble,AU105011094
Australia,AU0,New South Wales,AU1,Cootamundra,AU113031263
Australia,AU0,New South Wales,AU1,Coramba - Nana Glen - Bucca,AU104021086
Australia,AU0,New South Wales,AU1,Corowa Region,AU109031181
Australia,AU0,New South Wales,AU1,Cowra Region,AU103021064
Australia,AU0,New South Wales,AU1,Cremorne - Cammeray,AU121041413
Australia,AU0,New South Wales,AU1,Crows Nest - Waverton,AU121041414
Australia,AU0,New South Wales,AU1,Deniliquin,AU109031182
Australia,AU0,New South Wales,AU1,Deniliquin Region,AU109031183
