source,adm_code,adm_name,crop
FAOSTAT,AUS,Australia,bana
FAOSTAT,AUS,Australia,barl
FAOSTAT,AUS,Australia,bean
FAOSTAT,AUS,Australia,chic
FAOSTAT,AUS,Australia,cott
FAOSTAT,AUS,Australia,cowp
FAOSTAT,AUS,Australia,grou
FAOSTAT,AUS,Australia,lent
FAOSTAT,AUS,Australia,maiz
FAOSTAT,AUS,Australia,mill
FAOSTAT,AUS,Australia,ocer
FAOSTAT,AUS,Australia,ofib
FAOSTAT,AUS,Australia,ooil
FAOSTAT,AUS,Australia,opul
FAOSTAT,AUS,Australia,pota
FAOSTAT,AUS,Australia,rape
FAOSTAT,AUS,Australia,rest
FAOSTAT,AUS,Australia,rice
FAOSTAT,AUS,Australia,sorg
FAOSTAT,AUS,Australia,soyb
FAOSTAT,AUS,Australia,sugc
FAOSTAT,AUS,Australia,sunf
FAOSTAT,AUS,Australia,swpo
FAOSTAT,AUS,Australia,temf
FAOSTAT,AUS,Australia,toba
FAOSTAT,AUS,Australia,trof
FAOSTAT,AUS,Australia,vege
FAOSTAT,AUS,Australia,whea
